"","subject","session","trial","age","SD30","SD32","SD31","timetotal","array","item","category","supercategory","VOT","correct","AR","error"
"220",1,2,60,50,"3","2","8",28.2166666666667,17,"schwan","Vögel","Tiere","497","1","NA","NA"
"221",1,2,61,50,"3","2","8",28.2166666666667,17,"leopard","Raubtiere","Tiere","1051","1","NA","NA"
"222",1,2,62,50,"3","2","8",28.2166666666667,17,"luftballon","Filler","Filler","596","1","NA","NA"
"223",1,2,63,50,"3","2","8",28.2166666666667,17,"messer","Kochen","Werkzeug","437","1","NA","NA"
"224",1,2,64,50,"3","2","8",28.2166666666667,17,"tiger","Raubtiere","Tiere","797","1","NA","NA"
"225",1,2,65,50,"3","2","8",28.2166666666667,17,"ohrring","Schmuck","Kleidung","852","1","NA","NA"
"226",1,2,66,50,"3","2","8",28.2166666666667,17,"gabel","Kochen","Werkzeug","510","1","NA","NA"
"227",1,2,67,50,"3","2","8",28.2166666666667,17,"panther","Raubtiere","Tiere","1668","1","NA","NA"
"228",1,2,68,50,"3","2","8",28.2166666666667,17,"kette","Schmuck","Kleidung","599","1","NA","NA"
"229",1,2,69,50,"3","2","8",28.2166666666667,17,"kelle","Kochen","Werkzeug","496","1","NA","NA"
"230",1,2,70,50,"3","2","8",28.2166666666667,17,"löwe","Raubtiere","Tiere","419","1","NA","NA"
"231",1,2,71,50,"3","2","8",28.2166666666667,17,"kerze","Filler","Filler","421","1","NA","NA"
"232",1,2,72,50,"3","2","8",28.2166666666667,17,"armband","Schmuck","Kleidung","900","1","NA","NA"
"233",1,2,73,50,"3","2","8",28.2166666666667,17,"schlüssel","Filler","Filler","0","0","NR","4"
"234",1,2,74,50,"3","2","8",28.2166666666667,17,"waage","Filler","Filler","501","1","NA","NA"
"235",1,2,75,50,"3","2","8",28.2166666666667,17,"ring","Schmuck","Kleidung","420","1","NA","NA"
